Local Authority District code (2019),Local Authority District name (2019),Income - Average rank,Employment - Average rank,"Education, Skills and Training - Average rank",Health Deprivation and Disability - Average rank,Crime - Average rank,Barriers to Housing and Services - Average rank,Living Environment - Average rank,,,`,,,,,,,,,,,,
E09000002,Barking and Dagenham,25142.7,21951.1,21696.4,19499.7,23668.3,31669.7,23068.5,,,,,,,,,Income - Average rank,Employment - Average rank,"Education, Skills and Training - Average rank",Health Deprivation and Disability - Average rank,Crime - Average rank,Barriers to Housing and Services - Average rank,Living Environment - Average rank
E09000003,Barnet,16104.1,13169.1,7894.6,5011.8,17479.5,25355.6,20275.3,,,,,,,,Income - Average rank,1,,,,,,
E09000004,Bexley,14732.3,13522.2,16899.3,9446.2,14596.5,20691.0,16997.0,,,,,,,,Employment - Average rank,0.966840973,1,,,,,
E09000005,Brent,21445.3,17690.6,14477.3,10642.8,21996.4,30661.4,22811.3,,,,,,,,"Education, Skills and Training - Average rank",0.676314466,0.713376804,1,,,,
E09000006,Bromley,12232.8,11414.4,9841.2,6522.5,15906.4,22995.1,15733.0,,,,,,,,Health Deprivation and Disability - Average rank,0.825811499,0.845453104,0.538813065,1,,,
E09000007,Camden,18655.6,15925.9,10337.7,10894.3,20400.7,17780.1,24878.5,,,,,,,,Crime - Average rank,0.850369104,0.818809597,0.51030005,0.673959421,1,,
E09000008,Croydon,18584.2,16769.5,14304.1,14352.6,20068.8,27123.4,20381.0,,,,,,,,Barriers to Housing and Services - Average rank,0.628521414,0.614333594,0.421552759,0.486036031,0.371917466,1,
E09000009,Ealing,19531.3,16590.7,12144.4,12374.1,19489.7,28039.4,23725.1,,,,,,,,Living Environment - Average rank,0.365531085,0.348750329,-0.212144655,0.483950996,0.327916192,0.307655132,1
E09000010,Enfield,21937.5,18498.5,16856.0,9915.4,19084.4,29478.9,21993.3,,,,,,,,,,,,,,,
E09000011,Greenwich,21413.4,18637.7,14736.5,16405.4,22514.7,26085.3,20159.7,,,,,,,,,,,,,,,
E09000012,Hackney,24634.7,20677.3,13748.7,21637.9,24250.5,31221.8,26058.4,,,,,,,,,,,,,,,
E09000013,Hammersmith and Fulham,19094.3,16749.6,8311.5,16097.8,21048.9,23737.6,26012.4,,,,,,,,,,,,,,,
E09000014,Haringey,21844.2,18938.8,15035.5,15020.0,25422.8,28056.1,25874.1,,,,,,,,,,,,,,,
E09000015,Harrow,16269.8,12069.1,8315.4,4760.0,14342.3,27314.5,16503.9,,,,,,,,,,,,,,,
E09000016,Havering,15178.1,14074.2,19190.2,9832.9,18056.3,18308.7,14618.8,,,,,,,,,,,,,,,
E09000017,Hillingdon,16509.2,13767.7,15003.8,11646.6,19392.7,23978.7,17275.2,,,,,,,,,,,,,,,
E09000018,Hounslow,18673.2,14821.5,12471.6,12989.8,21438.9,27890.8,23240.4,,,,,,,,,,,,,,,
E09000019,Islington,23301.6,20245.8,12332.8,20276.5,24433.6,24133.7,26061.4,,,,,,,,,,,,,,,
E09000020,Kensington and Chelsea,13962.5,12503.4,5295.1,6985.2,20751.8,28557.0,28690.6,,,,,,,,,,,,,,,
E09000021,Kingston upon Thames,11391.6,8638.4,7002.7,5470.8,11848.6,20641.3,20231.1,,,,,,,,,,,,,,,
E09000022,Lambeth,20983.2,17311.7,10677.9,18598.8,23226.8,24286.8,28937.8,,,,,,,,,,,,,,,
E09000023,Lewisham,22217.2,19342.0,13445.4,17636.2,21786.7,27807.6,26197.0,,,,,,,,,,,,,,,
E09000024,Merton,14087.0,10933.5,9047.2,9260.8,15738.5,17907.6,23193.2,,,,,,,,,,,,,,,
E09000025,Newham,23168.0,17778.8,17121.4,16231.9,22834.5,32336.6,24540.7,,,,,,,,,,,,,,,
E09000026,Redbridge,17685.5,13372.1,11277.8,7444.1,20354.9,23376.2,20635.3,,,,,,,,,,,,,,,
E09000027,Richmond upon Thames,8767.3,7627.3,3528.7,3290.6,15404.3,12828.8,21705.8,,,,,,,,,,,,,,,
E09000028,Southwark,21355.0,17890.9,11263.6,18240.1,22487.7,26853.8,26080.0,,,,,,,,,,,,,,,
E09000029,Sutton,13312.0,12008.2,11318.2,9551.5,14074.4,18566.7,17857.3,,,,,,,,,,,,,,,
E09000030,Tower Hamlets,23902.9,18064.2,15428.0,19333.3,22835.7,25818.1,24554.1,,,,,,,,,,,,,,,
E09000031,Waltham Forest,21174.6,17533.2,16218.9,14437.3,21961.7,28669.3,25529.8,,,,,,,,,,,,,,,
E09000032,Wandsworth,15134.7,11027.8,6838.0,11755.8,17975.9,22221.2,24522.8,,,,,,,,,,,,,,,
E09000033,Westminster,16667.5,14096.2,8630.1,9103.6,17774.9,19435.9,27971.7,,,,,,,,,,,,,,,
